Address,Price,Date,Url,Lat,Lon,LSOACode,LowerLayerSuperOutputArea,ConstituencyCode
16 Mull Close,139950,2019-11-30,https://www.rightmove.co.uk/property-for-sale/property-87041126.html,52.4031606069846,-2.02729528544045,E01009161,Birmingham 125F,E05011136
"6 old acre drive, Handsworth",169950,2019-11-20,https://www.rightmove.co.uk/property-for-sale/property-86771069.html,52.501140844337,-1.94250501224727,E01033635,Birmingham 039H,E05011168
"Abbeyfield Road, Birmingham",159950,2020-01-19,https://www.rightmove.co.uk/property-for-sale/property-65973744.html,52.53981017952,-1.85310544013331,E01009403,Birmingham 020A,E05011161
"Abbeyfield Road, Birmingham",165000,2019-10-25,https://www.rightmove.co.uk/property-for-sale/property-65973744.html,52.53981017952,-1.85310544013331,E01009403,Birmingham 020A,E05011161
"Addison Road, Kings Heath, Birmingham, West Midlands, B14",200000,2019-11-04,https://www.rightmove.co.uk/property-for-sale/property-74238001.html,52.4311620068579,-1.89038291846771,E01009175,Birmingham 104A,E05011130
"Admington Road, Birmingham",125000,2019-11-18,https://www.rightmove.co.uk/property-for-sale/property-75344323.html,52.4675874590334,-1.7745936650744,E01009321,Birmingham 069C,E05011137
"Admington Road, Birmingham, B33",160000,2019-11-06,https://www.rightmove.co.uk/property-for-sale/property-66215031.html,52.469030584112,-1.77708878131743,E01009322,Birmingham 069D,E05011137
"Albert Road, Birmingham",160000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-63318129.html,52.5186899554745,-1.85803898660855,E01009412,Birmingham 030C,E05011173
"Albert Road, Erdington, Birmingham, West Midlands, B23",160000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73699216.html,52.5186899554745,-1.85803898660855,E01009412,Birmingham 030C,E05011173
"Alcester Road South, BIRMINGHAM",160000,2019-12-26,https://www.rightmove.co.uk/property-for-sale/property-74092960.html,52.4086840252098,-1.88735143906689,E01008947,Birmingham 122C,E05011146
"Alcester Road South, BIRMINGHAM",165000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-83043308.html,52.4086840252098,-1.88735143906689,E01008947,Birmingham 122C,E05011146
"Alcester Road South, Kings Heath",165000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-72944488.html,52.4086840252098,-1.88735143906689,E01008947,Birmingham 122C,E05011146
"Alder Road, Balsall Heath, Birmingham, B12",179950,2019-09-28,https://www.rightmove.co.uk/property-for-sale/property-83350841.html,52.4513774097428,-1.87797262568404,E01033648,Birmingham 084F,E05011170
