Address,Price,Date,Url,Lat,Lon,LSOACode,LowerLayerSuperOutputArea,ConstituencyCode
"Alexandra Road, Tipton",170000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-72508063.html,52.5299981753065,-2.05788810538692,E01010076,Sandwell 015F,E14001030
"53 Warley Hall Road, Oldbury, B68 9JR",175000,2019-10-13,https://www.rightmove.co.uk/property-for-sale/property-85399199.html,52.4723866699834,-1.99185954790877,E01010027,Sandwell 036D,E14001016
"53 Warley Hall Road, Oldbury, B68 9JR",191000,2019-10-05,https://www.rightmove.co.uk/property-for-sale/property-85399199.html,52.4723866699834,-1.99185954790877,E01010027,Sandwell 036D,E14001016
"Amblecote Avenue, Great Barr, Birmingham",170000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-64381761.html,52.5494743604965,-1.89554560178333,E01009225,Birmingham 013B,E14000566
"Acacia Avenue, Kingshurst, Birmingham",200000,2019-10-21,https://www.rightmove.co.uk/property-for-sale/property-65903832.html,52.4964971568475,-1.75544479637417,E01010146,Solihull 004A,E14000812
"Arlington Rd, Warstock, Birmingham, West Midlands, B14",175000,2019-09-27,https://www.rightmove.co.uk/property-for-sale/property-74386291.html,52.4110961095307,-1.87235013183497,E01008942,Birmingham 117A,E14000567
"39 Warley Hall Road, Oldbury, B68 9JR",195000,2019-10-29,https://www.rightmove.co.uk/property-for-sale/property-75088348.html,52.4723866699834,-1.99185954790877,E01010027,Sandwell 036D,E14001016
"Asholme Close, Birmingham, B36",165000,2019-10-27,https://www.rightmove.co.uk/property-for-sale/property-75054031.html,52.5024598465146,-1.82229334321813,E01009082,Birmingham 044A,E14000563
"Alexandra Crescent, West Bromwich, B71",195000,2019-09-15,https://www.rightmove.co.uk/property-for-sale/property-84716597.html,52.5401697536411,-1.98329577282861,E01009950,Sandwell 039D,E14001029
"Addington Way, Tividale, Oldbury, B69 3LZ",175000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73183204.html,52.517151746413,-2.03458744502893,E01010069,Sandwell 016E,E14001030
"Audley Road, Birmingham, West Midlands, B33",170000,2019-09-18,https://www.rightmove.co.uk/property-for-sale/property-65120943.html,52.4878698367479,-1.8055635688147,E01009092,Birmingham 054A,E14000568
"ALEXANDRA CRESCENT, WEST BROMWICH, WEST MIDLANDS, B71 3AG",179950,2019-09-25,https://www.rightmove.co.uk/property-for-sale/property-84017354.html,52.5401697536411,-1.98329577282861,E01009950,Sandwell 039D,E14001029
"Aldershaw Road, Birmingham",190000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-81437741.html,52.4582963767699,-1.8077540490319,E01008885,Birmingham 076A,E14000568
"Barn Croft, Birmingham, B32",160000,2019-09-18,https://www.rightmove.co.uk/property-for-sale/property-65130495.html,52.4394820241913,-1.98083247338297,E01008924,Birmingham 101A,E14000560
"Alexandra Road, Birmingham, B21",139995,2019-09-08,https://www.rightmove.co.uk/property-for-sale/property-63903636.html,52.5016807354369,-1.94353550531222,E01033635,Birmingham 039H,E14000564
